# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileChannelInterruptsRetryer.totalRetriedAttempts,1769817200875000000,1769817260952000000,0
MappedFileStorage.totalPagesMapped,1769817200875000000,1769817260952000000,21
FilePageCache.capacityInBytes,1769817200875000000,1769817260952000000,503316478
FilePageCacheLockFree.housekeeperTurnsSkipped,1769817200875000000,1769817260952000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769817200875000000,1769817260952000000,0
StreamlinedBlobStorage.recordsAllocated,1769817200875000000,1769817260952000000,769434
FilePageCache.pageHits,1769817200875000000,1769817260952000000,211
FilePageCache.uncachedFileAccess,1769817200875000000,1769817260952000000,126
FilePageCache.maxRegisteredFiles,1769817200875000000,1769817260952000000,252
FilePageCacheLockFree.totalClosedStoragesReclaimed,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalPagesReadMs,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1769817200875000000,1769817260952000000,0
FilePageCache.totalPageLoadsUs,1769817200875000000,1769817260952000000,187257
DirectByteBufferAllocator.reclaimed,1769817200875000000,1769817260952000000,3
FilePageCacheLockFree.totalPagesWritten,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1769817200875000000,1769817260952000000,0
DirectByteBufferAllocator.misses,1769817200875000000,1769817260952000000,152
FilePageCacheLockFree.totalNativeBytesAllocated,1769817200875000000,1769817260952000000,0
StreamlinedBlobStorage.recordsRelocated,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalBytesRequested,1769817200875000000,1769817260952000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1769817200875000000,1769817260952000000,36511972
Indexes.entries.lookupDurationAvgMs,1769817200875000000,1769817260952000000,0.0
Indexing.cache.totalCacheMisses,1769817200875000000,1769817260952000000,10776
Indexing.writesQueuedMin,1769817200875000000,1769817260952000000,9223372036854775807
Indexes.entries.lookupDuration90PMs,1769817200875000000,1769817260952000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1769817200875000000,1769817260952000000,0.0
Indexes.stubs.lookupDuration90PMs,1769817200875000000,1769817260952000000,0.0
Indexing.writesQueuedMax,1769817200875000000,1769817260952000000,0
IndexesFlusher.totalFlushesRetried,1769817200875000000,1769817260952000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1769817200875000000,1769817260952000000,0
Indexes.allKeys.lookups,1769817200875000000,1769817260952000000,0
IndexesFlusher.totalFlushingTimeUs,1769817200875000000,1769817260952000000,152881
Indexes.stubs.lookupDurationAvgMs,1769817200875000000,1769817260952000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1769817200875000000,1769817260952000000,0.0
Indexing.cache.totalCacheEvicted,1769817200875000000,1769817260952000000,10742
Indexes.entries.lookups,1769817200875000000,1769817260952000000,144
Indexes.allKeys.lookupDuration90PMs,1769817200875000000,1769817260952000000,0.0
Indexes.entries.lookupDurationMaxMs,1769817200875000000,1769817260952000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1769817200875000000,1769817260952000000,73
Indexes.stubs.lookupDurationMaxMs,1769817200875000000,1769817260952000000,0.0
Indexing.cache.totalCacheAccesses,1769817200875000000,1769817260952000000,11088
Indexing.totalTimeIndexersSleptMs,1769817200875000000,1769817260952000000,0
IndexesFlusher.totalFlushes,1769817200875000000,1769817260952000000,59
Indexing.writer_2.totalTimeSpentWritingMs,1769817200875000000,1769817260952000000,97
Indexes.stubs.lookups,1769817200875000000,1769817260952000000,0
IndexesFlusher.totalContentionQuotaSpent,1769817200875000000,1769817260952000000,2
Indexing.writer_1.totalTimeSpentWritingMs,1769817200875000000,1769817260952000000,103
workspaceModel.mutableEntityStorage.has.same.entities.ms,1769817200875000000,1769817260952000000,0
jps.global.initialize.library.bridges.after.loading.ms,1769817200875000000,1769817260952000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1769817200875000000,1769817260952000000,23
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1769817200875000000,1769817260952000000,0
workspaceModel.orphan.listener.update.ms,1769817200875000000,1769817260952000000,2
jps.global.get.libraries.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1769817200875000000,1769817260952000000,1
workspaceModel.moduleBridge.before.changed.ms,1769817200875000000,1769817260952000000,0
workspaceModel.load.cache.metadata.from.file.ms,1769817200875000000,1769817260952000000,13
jps.global.get.library.by.name.ms,1769817200875000000,1769817260952000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1769817200875000000,1769817260952000000,3
workspaceModel.do.save.caches.ms,1769817200875000000,1769817260952000000,41
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1769817200875000000,1769817260952000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1769817200875000000,1769817260952000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1769817200875000000,1769817260952000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1769817200875000000,1769817260952000000,0
jps.artifact.entities.serializer.save.entities.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1769817200875000000,1769817260952000000,0
jps.load.project.to.empty.storage.ms,1769817200875000000,1769817260952000000,39
workspaceModel.global.apply.state.to.project.ms,1769817200875000000,1769817260952000000,40
jps.facet.change.listener.init.bridge.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.entities.ms,1769817200875000000,1769817260952000000,0
jps.module.iml.entities.serializer.save.entities.ms,1769817200875000000,1769817260952000000,0
